policy,sparse_layers_pct,active_sparse_flop_pct,realized_sparse_compute_saving_pct_est,gpu_count,ppl,arc_c_accnorm,hellaswag_accnorm,winogrande_acc,mmlu_subset_acc,avg_primary,delta_vs_dense,gen_sanity,mem_per_gpu_gb,serving_status
dense,0,0,0,2,3.537,0.6500,0.7075,0.7675,0.8280,0.7383,0.0,coherent,96.6,reference
c_down49,49,16,8,2,3.620,0.6450,0.7000,0.7825,0.8140,0.7354,-0.0029,coherent,96.8,served_path_unchanged
c_down60,60,20,10,2,3.926,0.6425,0.6775,0.7600,0.7960,0.7190,-0.0193,coherent,96.8,served_path_unchanged
d3_slot3,49,24,12,4,3.534,0.6325,0.7050,0.7650,0.8300,0.7331,-0.0052,coherent,95.9,served_4gpu_dual_residency
d2_slot2,49,33,16,4,3.528,0.6425,0.7075,0.7675,0.8040,0.7304,-0.0079,coherent,95.5,served_4gpu_dual_residency
d1_slot1,49,41,20,4,3.511,0.6125,0.7025,0.7475,0.8000,0.7156,-0.0227,coherent_degraded,95.9,served_4gpu_dual_residency
c_gateup49,49,33,16,2,3.541,0.6100,0.6700,0.7525,0.7900,0.7056,-0.0327,coherent,96.6,served_misses_target
a2_49,49,49,24,2,3.754,0.6075,0.6600,0.7350,0.7840,0.6966,-0.0417,coherent,96.5,served_misses_target
